date,county,diseases,diagnosis,species,disease_value
2021-03-01,Nyamira,Brucellosis,Clinically confirmed,Human,268
2021-03-01,Nyamira,Brucellosis,Lab confirmed,Human,1009
2021-03-01,Nyandarua,Brucellosis,Clinically confirmed,Human,177
2021-03-01,Nyandarua,Brucellosis,Lab confirmed,Human,753
2021-03-01,Nyeri,Brucellosis,Clinically confirmed,Human,9
2021-03-01,Nyeri,Brucellosis,Lab confirmed,Human,124
2021-03-01,Samburu,Brucellosis,Clinically confirmed,Human,69
2021-03-01,Samburu,Brucellosis,Lab confirmed,Human,858
2021-03-01,Siaya,Brucellosis,Clinically confirmed,Human,61
2021-03-01,Siaya,Brucellosis,Lab confirmed,Human,209
2021-03-01,Taita Taveta,Brucellosis,Clinically confirmed,Human,12
2021-03-01,Taita Taveta,Brucellosis,Lab confirmed,Human,177
2021-03-01,Tana River,Brucellosis,Clinically confirmed,Human,15
2021-03-01,Tana River,Brucellosis,Lab confirmed,Human,76
2021-03-01,Tharaka Nithi,Brucellosis,Clinically confirmed,Human,244
2021-03-01,Tharaka Nithi,Anthrax,Clinically confirmed,Human,6
2021-03-01,Tharaka Nithi,Brucellosis,Lab confirmed,Human,910
2021-03-01,Trans Nzoia,Brucellosis,Clinically confirmed,Human,633
2021-03-01,Trans Nzoia,Brucellosis,Lab confirmed,Human,2098
2021-03-01,Turkana,Brucellosis,Clinically confirmed,Human,298
2021-03-01,Turkana,Rvf,Clinically confirmed,Human,1
2021-03-01,Turkana,Brucellosis,Lab confirmed,Human,940
2021-03-01,Uasin Gishu,Brucellosis,Clinically confirmed,Human,500
2021-03-01,Uasin Gishu,Brucellosis,Lab confirmed,Human,2183
2021-03-01,Vihiga,Brucellosis,Clinically confirmed,Human,73
2021-03-01,Vihiga,Anthrax,Clinically confirmed,Human,4
2021-03-01,Vihiga,Brucellosis,Lab confirmed,Human,441
2021-03-01,Wajir,Brucellosis,Clinically confirmed,Human,27
2021-03-01,Wajir,Brucellosis,Lab confirmed,Human,650
2021-03-01,West Pokot,Brucellosis,Clinically confirmed,Human,527
2021-03-01,West Pokot,Brucellosis,Lab confirmed,Human,2637
2021-04-01,Baringo,Brucellosis,Clinically confirmed,Human,451
2021-04-01,Baringo,Brucellosis,Lab confirmed,Human,1233
2021-04-01,Bomet,Brucellosis,Clinically confirmed,Human,158
2021-04-01,Bomet,Brucellosis,Lab confirmed,Human,942
2021-04-01,Bungoma,Brucellosis,Clinically confirmed,Human,713
2021-04-01,Bungoma,Anthrax,Clinically confirmed,Human,1
2021-04-01,Bungoma,Brucellosis,Lab confirmed,Human,3943
2021-04-01,Busia,Brucellosis,Clinically confirmed,Human,52
2021-04-01,Busia,Brucellosis,Lab confirmed,Human,676
2021-04-01,Elgeyo Marakwet,Brucellosis,Clinically confirmed,Human,4759
2021-04-01,Elgeyo Marakwet,Brucellosis,Lab confirmed,Human,1203
2021-04-01,Embu,Brucellosis,Clinically confirmed,Human,55
2021-04-01,Embu,Brucellosis,Lab confirmed,Human,559
2021-04-01,Garissa,Brucellosis,Clinically confirmed,Human,60
2021-04-01,Garissa,Brucellosis,Lab confirmed,Human,751
2021-04-01,Homa Bay,Brucellosis,Clinically confirmed,Human,239
2021-04-01,Homa Bay,Brucellosis,Lab confirmed,Human,915
2021-04-01,Isiolo,Brucellosis,Clinically confirmed,Human,113
2021-04-01,Isiolo,Rvf,Clinically confirmed,Human,1
2021-04-01,Isiolo,Brucellosis,Lab confirmed,Human,812
2021-04-01,Kajiado,Brucellosis,Clinically confirmed,Human,300
2021-04-01,Kajiado,Brucellosis,Lab confirmed,Human,926
2021-04-01,Kakamega,Brucellosis,Clinically confirmed,Human,186
2021-04-01,Kakamega,Brucellosis,Lab confirmed,Human,674
2021-04-01,Kericho,Brucellosis,Clinically confirmed,Human,378
2021-04-01,Kericho,Brucellosis,Lab confirmed,Human,1911
2021-04-01,Kiambu,Brucellosis,Clinically confirmed,Human,43
2021-04-01,Kiambu,Brucellosis,Lab confirmed,Human,590
2021-04-01,Kilifi,Brucellosis,Clinically confirmed,Human,15
2021-04-01,Kilifi,Anthrax,Clinically confirmed,Human,1
2021-04-01,Kilifi,Brucellosis,Lab confirmed,Human,50
2021-04-01,Kirinyaga,Brucellosis,Clinically confirmed,Human,12
2021-04-01,Kirinyaga,Brucellosis,Lab confirmed,Human,185
2021-04-01,Kisii,Brucellosis,Clinically confirmed,Human,742
2021-04-01,Kisii,Brucellosis,Lab confirmed,Human,3475
2021-04-01,Kisumu,Brucellosis,Clinically confirmed,Human,91
2021-04-01,Kisumu,Brucellosis,Lab confirmed,Human,826
2021-04-01,Kitui,Brucellosis,Clinically confirmed,Human,186
2021-04-01,Kitui,Brucellosis,Lab confirmed,Human,1024
2021-04-01,Kwale,Brucellosis,Clinically confirmed,Human,1
2021-04-01,Kwale,Brucellosis,Lab confirmed,Human,12
2021-04-01,Laikipia,Brucellosis,Clinically confirmed,Human,61
2021-04-01,Laikipia,Brucellosis,Lab confirmed,Human,347
2021-04-01,Lamu,Brucellosis,Clinically confirmed,Human,1
2021-04-01,Machakos,Brucellosis,Clinically confirmed,Human,58
2021-04-01,Machakos,Brucellosis,Lab confirmed,Human,427
2021-04-01,Makueni,Brucellosis,Clinically confirmed,Human,71
2021-04-01,Makueni,Anthrax,Clinically confirmed,Human,78
2021-04-01,Makueni,Brucellosis,Lab confirmed,Human,387
2021-04-01,Mandera,Brucellosis,Clinically confirmed,Human,83
2021-04-01,Mandera,Anthrax,Clinically confirmed,Human,8
2021-04-01,Mandera,Brucellosis,Lab confirmed,Human,402
2021-04-01,Marsabit,Brucellosis,Clinically confirmed,Human,266
2021-04-01,Marsabit,Brucellosis,Lab confirmed,Human,419
2021-04-01,Meru,Brucellosis,Clinically confirmed,Human,52
2021-04-01,Meru,Brucellosis,Lab confirmed,Human,282
2021-04-01,Migori,Brucellosis,Clinically confirmed,Human,378
2021-04-01,Migori,Anthrax,Clinically confirmed,Human,6
2021-04-01,Migori,Brucellosis,Lab confirmed,Human,1408
2021-04-01,Mombasa,Brucellosis,Clinically confirmed,Human,5
2021-04-01,Mombasa,Anthrax,Clinically confirmed,Human,5
2021-04-01,Mombasa,Brucellosis,Lab confirmed,Human,17
2021-04-01,Murang'a,Brucellosis,Clinically confirmed,Human,15
2021-04-01,Murang'a,Brucellosis,Lab confirmed,Human,100
