periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 706_Brucella,Brucellosis
202303,March 2023,202303,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,1506,537
202303,March 2023,202303,,sANMZ3lpqGs,Vihiga County,KE_County_38,,268,30
202303,March 2023,202303,,CeLsrJOH0g9,Wajir County,KE_County_8,,311,14
202303,March 2023,202303,,XWALbfAPa6n,West Pokot County,KE_County_24,,1459,454
202304,April 2023,202304,,vvOK1BxTbet,Baringo County,KE_County_30,,901,353
202304,April 2023,202304,,HMNARUV2CW4,Bomet County,KE_County_36,,634,63
202304,April 2023,202304,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,2382,656
202304,April 2023,202304,,Tvf1zgVZ0K4,Busia County,KE_County_40,,569,100
202304,April 2023,202304,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,551,450
202304,April 2023,202304,,PFu8alU2KWG,Embu County,KE_County_14,,497,36
202304,April 2023,202304,,uyOrcHZBpW0,Garissa County,KE_County_7,,547,62
202304,April 2023,202304,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,623,222
202304,April 2023,202304,,bzOfj0iwfDH,Isiolo County,KE_County_11,,253,60
202304,April 2023,202304,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,642,203
202304,April 2023,202304,,BjC1xL40gHo,Kakamega County,KE_County_37,,882,187
202304,April 2023,202304,,ihZsJ8alvtb,Kericho County,KE_County_35,,2536,670
202304,April 2023,202304,,qKzosKQPl6G,Kiambu County,KE_County_22,,127,12
202304,April 2023,202304,,nrI2khZx3d0,Kilifi County,KE_County_3,,10,
202304,April 2023,202304,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,107,13
202304,April 2023,202304,,sPkRcDvhGWA,Kisii County,KE_County_45,,3973,623
202304,April 2023,202304,,tAbBVBbueqD,Kisumu County,KE_County_42,,633,150
202304,April 2023,202304,,j8o6iO4Njsi,Kitui County,KE_County_15,,403,87
202304,April 2023,202304,,N7YETT3A9r1,Kwale County,KE_County_2,,5,9
202304,April 2023,202304,,xuFdFy6t9AH,Laikipia County,KE_County_31,,389,33
202304,April 2023,202304,,NjWSbQTwys4,Lamu County,KE_County_5,,1,1
202304,April 2023,202304,,yhCUgGcCcOo,Machakos County,KE_County_16,,209,19
202304,April 2023,202304,,BoDytkJQ4Qi,Makueni County,KE_County_17,,135,73
202304,April 2023,202304,,R6f9znhg37c,Mandera County,KE_County_9,,535,36
202304,April 2023,202304,,Eey8fT4Im3y,Marsabit County,KE_County_10,,367,119
202304,April 2023,202304,,Y52XNJ50hYb,Meru County,KE_County_12,,133,148
202304,April 2023,202304,,fVra3Pwta0Q,Migori County,KE_County_44,,941,522
202304,April 2023,202304,,wsBsC6gjHvn,Mombasa County,KE_County_1,,25,1
202304,April 2023,202304,,ahwTMNAJvrL,Muranga County,KE_County_21,,41,8
202304,April 2023,202304,,jkG3zaihdSs,Nairobi County,KE_County_47,,863,103
202304,April 2023,202304,,ob6SxuRcqU4,Nakuru County,KE_County_32,,2108,326
202304,April 2023,202304,,t0J75eHKxz5,Nandi County,KE_County_29,,1099,406
202304,April 2023,202304,,kqJ83J2D72s,Narok County,KE_County_33,,1598,733
202304,April 2023,202304,,uepLTG8wGWJ,Nyamira County,KE_County_46,,600,230
202304,April 2023,202304,,mYZacFNIB3h,Nyandarua County,KE_County_18,,300,44
202304,April 2023,202304,,ptWVfaCIdVx,Nyeri County,KE_County_19,,91,16
202304,April 2023,202304,,o36zCRjSd4G,Samburu County,KE_County_25,,327,24
202304,April 2023,202304,,u4t9H8XyU9P,Siaya County,KE_County_41,,500,84
202304,April 2023,202304,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,66,10
202304,April 2023,202304,,JsH2bnvNt2d,Tana River County,KE_County_4,,58,19
202304,April 2023,202304,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,427,42
202304,April 2023,202304,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1954,322
202304,April 2023,202304,,kphDeKClFch,Turkana County,KE_County_23,,718,111
202304,April 2023,202304,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,1429,610
202304,April 2023,202304,,sANMZ3lpqGs,Vihiga County,KE_County_38,,157,30
202304,April 2023,202304,,CeLsrJOH0g9,Wajir County,KE_County_8,,321,24
202304,April 2023,202304,,XWALbfAPa6n,West Pokot County,KE_County_24,,1383,302
202305,May 2023,202305,,vvOK1BxTbet,Baringo County,KE_County_30,,1368,375
202305,May 2023,202305,,HMNARUV2CW4,Bomet County,KE_County_36,,674,85
202305,May 2023,202305,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3577,681
202305,May 2023,202305,,Tvf1zgVZ0K4,Busia County,KE_County_40,,767,111
202305,May 2023,202305,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1463,519
202305,May 2023,202305,,PFu8alU2KWG,Embu County,KE_County_14,,552,84
202305,May 2023,202305,,uyOrcHZBpW0,Garissa County,KE_County_7,,553,68
202305,May 2023,202305,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1247,227
202305,May 2023,202305,,bzOfj0iwfDH,Isiolo County,KE_County_11,,276,74
202305,May 2023,202305,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,719,113
