"","county","year","pop"
"254","Nandi",2019,885711
"255","Nandi",2020,906000
"256","Nandi",2021,921000
"257","Narok",2014,1002532
"258","Narok",2015,1031836
"259","Narok",2016,1061997
"260","Narok",2017,1093039
"261","Narok",2018,1124989
"262","Narok",2019,1157873
"263","Narok",2020,1178000
"264","Narok",2021,1213000
"265","Nyamira",2014,588216
"266","Nyamira",2015,591648
"267","Nyamira",2016,595100
"268","Nyamira",2017,598572
"269","Nyamira",2018,602064
"270","Nyamira",2019,605576
"271","Nyamira",2020,646000
"272","Nyamira",2021,650000
"273","Nyandarua",2014,580503
"274","Nyandarua",2015,591626
"275","Nyandarua",2016,602962
"276","Nyandarua",2017,614515
"277","Nyandarua",2018,626289
"278","Nyandarua",2019,638289
"279","Nyandarua",2020,657000
"280","Nyandarua",2021,670000
"281","Nyeri",2014,720500
"282","Nyeri",2015,728072
"283","Nyeri",2016,735724
"284","Nyeri",2017,743456
"285","Nyeri",2018,751269
"286","Nyeri",2019,759164
"287","Nyeri",2020,810000
"288","Nyeri",2021,818000
"289","Samburu",2014,269525
"290","Samburu",2015,277232
"291","Samburu",2016,285159
"292","Samburu",2017,293313
"293","Samburu",2018,301700
"294","Samburu",2019,310327
"295","Samburu",2020,320000
"296","Samburu",2021,330000
"297","Siaya",2014,906495
"298","Siaya",2015,923205
"299","Siaya",2016,940223
"300","Siaya",2017,957555
"301","Siaya",2018,975206
"302","Siaya",2019,993183
"303","Siaya",2020,1003000
"304","Siaya",2021,1022000
"305","Taita Taveta",2014,320392
"306","Taita Taveta",2015,324349
"307","Taita Taveta",2016,328355
"308","Taita Taveta",2017,332410
"309","Taita Taveta",2018,336515
"310","Taita Taveta",2019,340671
"311","Taita Taveta",2020,351000
"312","Taita Taveta",2021,355000
"313","Tana River",2014,277521
"314","Tana River",2015,284812
"315","Tana River",2016,292295
"316","Tana River",2017,299974
"317","Tana River",2018,307855
"318","Tana River",2019,315943
"319","Tana River",2020,326000
"320","Tana River",2021,335000
"321","Tharaka Nithi",2014,372588
"322","Tharaka Nithi",2015,376618
"323","Tharaka Nithi",2016,380691
"324","Tharaka Nithi",2017,384808
"325","Tharaka Nithi",2018,388970
"326","Tharaka Nithi",2019,393177
"327","Tharaka Nithi",2020,403000
"328","Tharaka Nithi",2021,408000
"329","Trans Nzoia",2014,901143
"330","Trans Nzoia",2015,918316
"331","Trans Nzoia",2016,935816
"332","Trans Nzoia",2017,953649
"333","Trans Nzoia",2018,971822
"334","Trans Nzoia",2019,990341
"335","Trans Nzoia",2020,1010000
"336","Trans Nzoia",2021,1030000
"337","Turkana",2014,813827
"338","Turkana",2015,835294
"339","Turkana",2016,857327
"340","Turkana",2017,879942
"341","Turkana",2018,903153
"342","Turkana",2019,926976
"343","Turkana",2020,946000
"344","Turkana",2021,972000
"345","Uasin Gishu",2014,1050892
"346","Uasin Gishu",2015,1072448
"347","Uasin Gishu",2016,1094446
"348","Uasin Gishu",2017,1116896
"349","Uasin Gishu",2018,1139806
"350","Uasin Gishu",2019,1163186
"351","Uasin Gishu",2020,1183000
"352","Uasin Gishu",2021,1208000
"353","Vihiga",2014,565646
"354","Vihiga",2015,570438
"355","Vihiga",2016,575270
"356","Vihiga",2017,580143
"357","Vihiga",2018,585057
"358","Vihiga",2019,590013
"359","Vihiga",2020,610000
"360","Vihiga",2021,615000
"361","Wajir",2014,684141
"362","Wajir",2015,702548
"363","Wajir",2016,721450
"364","Wajir",2017,740861
"365","Wajir",2018,760794
"366","Wajir",2019,781263
"367","Wajir",2020,804000
"368","Wajir",2021,826000
"369","West Pokot",2014,553860
"370","West Pokot",2015,566725
"371","West Pokot",2016,579888
"372","West Pokot",2017,593357
"373","West Pokot",2018,607139
"374","West Pokot",2019,621241
"375","West Pokot",2020,631000
"376","West Pokot",2021,646000
